Name,Kilometers Driven,Fuel,Transmission,Price,EMI
2018 Tata TIGOR XZ PETROL,"94,586 km",Petrol,Manual,₹4.20 Lakh,"EMIs from ₹8,211/month"
2022 Tata TIGOR XZ PLUS CNG,"24,490 km",CNG,Manual,₹7.89 Lakh,"EMIs from ₹15,425/month"
2019 Tata Tiago XZA PETROL,"32,045 km",Petrol,Automatic,₹5.36 Lakh,"EMIs from ₹10,479/month"
2021 Tata ALTROZ XZ PLUS PETROL,"13,348 km",Petrol,Manual,₹7.70 Lakh,"EMIs from ₹15,054/month"
2021 Tata NEXON XZ PETROL,"13,342 km",Petrol,Manual,₹8.80 Lakh,"EMIs from ₹16,750/month"
2017 Tata Tiago XT PETROL,"24,888 km",Petrol,Manual,₹4.02 Lakh,"EMIs from ₹7,859/month"
2022 Tata NEXON XZA PLUS DIESEL KAZIRANGA,"37,027 km",Diesel,Automatic,₹12.65 Lakh,"EMIs from ₹24,078/month"
2019 Tata Harrier XZ 2.0L,"52,045 km",Diesel,Manual,₹12.68 Lakh,"EMIs from ₹24,135/month"
2019 Tata Harrier XM 2.0L KRYOTEC,"44,461 km",Diesel,Manual,₹10.63 Lakh,"EMIs from ₹20,233/month"
2021 Tata Tiago XZA PLUS DUAL TONE PETROL,"34,270 km",Petrol,Automatic,₹6.02 Lakh,"EMIs from ₹11,763/month"
2019 Tata TIGOR XZ PLUS PETROL,"87,229 km",Petrol,Manual,₹4.91 Lakh,"EMIs from ₹9,599/month"
2021 Tata Tiago XZA PLUS PETROL,"42,528 km",Petrol,Automatic,₹5.34 Lakh,"EMIs from ₹10,440/month"
2022 Tata TIGOR XZ PLUS CNG,"5,837 km",CNG,Manual,₹8.19 Lakh,"EMIs from ₹15,589/month"
2022 Tata PUNCH CREATIVE 1.2 AMT KAZIRANGA EDITION ,"21,714 km",Petrol,Automatic,₹8.14 Lakh,"EMIs from ₹15,494/month"
2020 Tata ALTROZ XZ PETROL,"47,992 km",Petrol,Manual,₹6.54 Lakh,"EMIs from ₹12,786/month"
2018 Tata NEXON XZA PLUS DIESEL DUAL TONE,"1,04,792 km",Diesel,Automatic,₹6.96 Lakh,"EMIs from ₹15,482/month"
2022 Tata TIGOR XZ PLUS CNG,"18,438 km",CNG,Manual,₹7.33 Lakh,"EMIs from ₹14,330/month"
2021 Tata Safari XZ PLUS,"16,603 km",Diesel,Manual,₹19.21 Lakh,"EMIs from ₹36,564/month"
2019 Tata Tiago XZA PLUS PETROL,"18,218 km",Petrol,Automatic,₹5.59 Lakh,"EMIs from ₹10,929/month"
2023 Tata NEXON XZA PLUS PETROL,"6,437 km",Petrol,Automatic,₹10.69 Lakh,"EMIs from ₹20,347/month"
2020 Tata ALTROZ XZ PETROL,"71,356 km",Petrol,Manual,₹6.90 Lakh,"EMIs from ₹13,490/month"
2020 Tata ALTROZ XZ PETROL,"11,670 km",Petrol,Manual,₹7.07 Lakh,"EMIs from ₹13,828/month"
2019 Tata NEXON XZA PLUS PETROL,"61,806 km",Petrol,Automatic,₹7.73 Lakh,"EMIs from ₹15,112/month"
2022 Tata ALTROZ XZA PLUS,"2,973 km",Petrol,Automatic,₹9.15 Lakh,"EMIs from ₹17,416/month"
2019 Tata NEXON XZA PLUS DIESEL,"51,506 km",Diesel,Automatic,₹8.53 Lakh,"EMIs from ₹16,236/month"
2022 Tata NEXON XZ PLUS PETROL,"18,598 km",Petrol,Manual,₹9.17 Lakh,"EMIs from ₹17,454/month"
2018 Tata NEXON XZA PLUS PETROL,"26,184 km",Petrol,Automatic,₹7.75 Lakh,"EMIs from ₹15,151/month"
2021 Tata TIGOR XZA PLUS PETROL,"39,046 km",Petrol,Automatic,₹7.04 Lakh,"EMIs from ₹13,763/month"
2020 Tata ALTROZ XZ PETROL,"27,102 km",Petrol,Manual,₹7.15 Lakh,"EMIs from ₹13,978/month"
2018 Tata Tiago XZ PETROL,"76,127 km",Petrol,Manual,₹4.24 Lakh,"EMIs from ₹8,289/month"
2018 Tata Tiago XZ PLUS PETROL,"36,638 km",CNG,Manual,₹4.63 Lakh,"EMIs from ₹9,052/month"
2022 Tata Safari XZA PLUS ADVENTURE,"42,408 km",Diesel,Automatic,₹20.27 Lakh,"EMIs from ₹38,582/month"
2020 Tata ALTROZ XZ PETROL,"23,825 km",Petrol,Manual,₹7.37 Lakh,"EMIs from ₹14,408/month"
2017 Tata Tiago XZ PETROL,"37,602 km",Petrol,Manual,₹4.12 Lakh,"EMIs from ₹8,055/month"
2018 Tata Tiago XZ PETROL,"90,317 km",Petrol,Manual,₹4.10 Lakh,"EMIs from ₹8,016/month"
2020 Tata Tiago XT PETROL,"42,969 km",Petrol,Manual,₹4.67 Lakh,"EMIs from ₹9,130/month"
